observation_id,event_group_id,event_timestamp,gauge_name,gauge_latitude,gauge_longitude,gauge_river,gauge_district,flood_label,label_source,coverage_name,file_name,flood_pixel_count,valid_pixel_count,flood_pixel_percentage,flooded_area_km2,nearest_flood_distance_km,rain_station_name,rain_24h_mm,rain_72h_mm,rain_24h_records,river_stage_m,river_delta_24h_m,river_rate_of_rise_m_per_hr,river_24h_records,river_datum_status,telemetry_gap_flag,split_candidate,pool_source
BHUVAN_ASSAM_20240617_1800_DHANSIRIGHAT,ASSAM_FLOOD_2024_06_DHANSIRIGHAT_EP05,2024-06-17 18:00,NH15 Crossing Dhansirighat,26.695833,92.257778,Dhansiri (North),Udalguri,1,NRSC/ISRO Bhuvan Historical Flood Inundation WCS,flood:as_2024_17_06_18,assam_2024_06_17_18hr_dhansirighat.tif,3,262144,0.0011,0.005,,NT Road Crossing Jia-Bharali,252.5,252.5,3,30.548,0.265,0.011,24,DATUM_RECLASSIFIED_LOCAL,False,Fold 5,PHASE_7H_EXPANSION
BHUVAN_ASSAM_20240704_1800_DHANSIRIGHAT,ASSAM_FLOOD_2024_07_DHANSIRIGHAT_EP06,2024-07-04 18:00,NH15 Crossing Dhansirighat,26.695833,92.257778,Dhansiri (North),Udalguri,0,NRSC/ISRO Bhuvan Historical Flood Inundation WCS,flood:as_2024_04_07_18,assam_2024_07_04_18hr_dhansirighat.tif,0,262144,0.0,0.0,,DRF,3.5,3.5,3,30.342,0.309,0.0129,20,DATUM_RECLASSIFIED_LOCAL,False,Fold 2,PHASE_7H_EXPANSION
BHUVAN_ASSAM_20240708_1000_DHANSIRIGHAT,ASSAM_FLOOD_2024_07_DHANSIRIGHAT_EP06,2024-07-08 10:00,NH15 Crossing Dhansirighat,26.695833,92.257778,Dhansiri,Udalguri,1,NRSC/ISRO Bhuvan Historical Flood Inundation WCS,flood:as_2024_08_07_10,assam_2024_07_08_10hr_dhansirighat.tif,613,262144,0.2338,0.585,8.51,DRF,3.5,7.5,1,30.058,0.068,0.0028,24,DATUM_RECLASSIFIED_LOCAL,False,Fold 2,TIER_1_CORE
BHUVAN_ASSAM_20240708_1800_DHANSIRIGHAT,ASSAM_FLOOD_2024_07_DHANSIRIGHAT_EP06,2024-07-08 18:00,NH15 Crossing Dhansirighat,26.695833,92.257778,Dhansiri (North),Udalguri,0,NRSC/ISRO Bhuvan Historical Flood Inundation WCS,flood:as_2024_08_07_18,assam_2024_07_08_18hr_dhansirighat.tif,0,262144,0.0,0.0,,DRF,3.5,7.5,1,30.135,0.076,0.0032,23,DATUM_RECLASSIFIED_LOCAL,False,Fold 2,PHASE_7H_EXPANSION
BHUVAN_ASSAM_20240711_0600_DHANSIRIGHAT,ASSAM_FLOOD_2024_07_DHANSIRIGHAT_EP06,2024-07-11 06:00,NH15 Crossing Dhansirighat,26.695833,92.257778,Dhansiri (North),Udalguri,0,NRSC/ISRO Bhuvan Historical Flood Inundation WCS,flood:as_2024_11_07_06,assam_2024_07_11_06hr_dhansirighat.tif,0,262144,0.0,0.0,,DRF,1.5,8.5,2,30.272,0.047,0.002,24,DATUM_RECLASSIFIED_LOCAL,False,Fold 2,PHASE_7H_EXPANSION
BHUVAN_ASSAM_20240711_1800_DHANSIRIGHAT,ASSAM_FLOOD_2024_07_DHANSIRIGHAT_EP06,2024-07-11 18:00,NH15 Crossing Dhansirighat,26.695833,92.257778,Dhansiri (North),Udalguri,1,NRSC/ISRO Bhuvan Historical Flood Inundation WCS,flood:as_2024_11_07_18,assam_2024_07_11_18hr_dhansirighat.tif,13235,262144,5.0488,22.311,,DRF,1.5,8.5,2,30.25,,,18,DATUM_RECLASSIFIED_LOCAL,True,Fold 2,PHASE_7H_EXPANSION
BHUVAN_ASSAM_20240716_1800_DHANSIRIGHAT,ASSAM_FLOOD_2024_07_DHANSIRIGHAT_EP06,2024-07-16 18:00,NH15 Crossing Dhansirighat,26.695833,92.257778,Dhansiri,Udalguri,1,NRSC/ISRO Bhuvan Historical Flood Inundation WCS,flood:as_2024_16_07_18,assam_2024_07_16_18hr_dhansirighat.tif,3756,262144,1.4328,6.332,0.85,DRF,0.0,25.0,0,30.427,-0.055,-0.0023,24,DATUM_RECLASSIFIED_LOCAL,False,Fold 2,TIER_1_CORE
BHUVAN_ASSAM_20240720_0600_BOKO,ASSAM_FLOOD_2024_07_BOKO_EP18,2024-07-20 06:00,NH17 Crossing Boko,25.9775,91.234167,Boko,Kamrup Metro,1,NRSC/ISRO Bhuvan Historical Flood Inundation WCS,flood:as_2024_20_07_06,assam_2024_07_20_06hr_boko.tif,4275,262144,1.6308,7.25,4.66,Beki Road bridge,10.0,107.0,6,30.0,0.0,0.0,24,DATUM_RECLASSIFIED_LOCAL,False,Fold 5,TIER_1_CORE
BHUVAN_ASSAM_20240809_0600_DHANSIRIGHAT,ASSAM_FLOOD_2024_08_DHANSIRIGHAT_EP07,2024-08-09 06:00,NH15 Crossing Dhansirighat,26.695833,92.257778,Dhansiri (North),Udalguri,0,NRSC/ISRO Bhuvan Historical Flood Inundation WCS,flood:as_2024_09_08,assam_2024_08_09_06hr_dhansirighat.tif,0,262144,0.0,0.0,,Beki Road bridge,3.5,17.0,7,30.141,-0.111,-0.0046,24,DATUM_RECLASSIFIED_LOCAL,False,Fold 4,PHASE_7H_EXPANSION
BHUVAN_ASSAM_20240809_1800_DHANSIRIGHAT,ASSAM_FLOOD_2024_08_DHANSIRIGHAT_EP07,2024-08-09 18:00,NH15 Crossing Dhansirighat,26.695833,92.257778,Dhansiri (North),Udalguri,1,NRSC/ISRO Bhuvan Historical Flood Inundation WCS,flood:as_2024_09_08_18,assam_2024_08_09_18hr_dhansirighat.tif,1,262144,0.0004,0.002,,Beki Road bridge,2.5,9.5,4,30.296,0.246,0.0103,24,DATUM_RECLASSIFIED_LOCAL,False,Fold 4,PHASE_7H_EXPANSION
BHUVAN_ASSAM_20250603_0600_DHANSIRIGHAT,ASSAM_FLOOD_2025_06_DHANSIRIGHAT_EP08,2025-06-03 06:00,NH15 Crossing Dhansirighat,26.695833,92.257778,Dhansiri (North),Udalguri,1,NRSC/ISRO Bhuvan Historical Flood Inundation WCS,flood:as_2025_03_06_06,assam_2025_06_03_06hr_dhansirighat.tif,983,262144,0.375,1.657,,DRF,21.0,45.0,3,79.903,0.083,0.0035,24,MSL_NORMALIZED,False,Fold 5,PHASE_7H_EXPANSION
BHUVAN_ASSAM_20250603_1000_DHANSIRIGHAT,ASSAM_FLOOD_2025_06_DHANSIRIGHAT_EP08,2025-06-03 10:00,NH15 Crossing Dhansirighat,26.695833,92.257778,Dhansiri (North),Udalguri,0,NRSC/ISRO Bhuvan Historical Flood Inundation WCS,flood:as_2025_03_06_10,assam_2025_06_03_10hr_dhansirighat.tif,0,262144,0.0,0.0,,DRF,21.0,45.0,3,79.965,0.104,0.0043,24,MSL_NORMALIZED,False,Fold 5,PHASE_7H_EXPANSION
BHUVAN_ASSAM_20250611_1000_DHANSIRIGHAT,ASSAM_FLOOD_2025_06_DHANSIRIGHAT_EP09,2025-06-11 10:00,NH15 Crossing Dhansirighat,26.695833,92.257778,Dhansiri,Udalguri,0,NRSC/ISRO Bhuvan Historical Flood Inundation WCS,flood:as_2025_11_06_10,assam_2025_06_11_10hr_dhansirighat.tif,0,262144,0.0,0.0,,DRF,0.0,224.0,0,80.301,0.053,0.0022,24,MSL_NORMALIZED,False,Fold 2,TIER_1_CORE
BHUVAN_ASSAM_20250619_1800_DHANSIRIGHAT,ASSAM_FLOOD_2025_06_DHANSIRIGHAT_EP10,2025-06-19 18:00,NH15 Crossing Dhansirighat,26.695833,92.257778,Dhansiri (North),Udalguri,0,NRSC/ISRO Bhuvan Historical Flood Inundation WCS,flood:as_2025_19_06_18,assam_2025_06_19_18hr_dhansirighat.tif,0,262144,0.0,0.0,,DRF,3.0,40.5,4,80.153,-0.137,-0.0057,24,MSL_NORMALIZED,False,Fold 2,PHASE_7H_EXPANSION
BHUVAN_ASSAM_20250624_1800_FAKIRPARA,ASSAM_FLOOD_2025_06_FAKIRPARA_EP14,2025-06-24 18:00,NH15 Crossing Fakirpara Tangni,26.508333,92.116389,Tangni,Darrang,1,NRSC/ISRO Bhuvan Historical Flood Inundation WCS,flood:as_2025_24_06_18,assam_2025_06_24_18hr_fakirpara.tif,5338,262144,2.0363,9.012,,DRF,36.5,36.5,1,61.384,-0.695,-0.029,24,MSL_NORMALIZED,False,Fold 4,PHASE_7H_EXPANSION
BHUVAN_ASSAM_20250628_1100_DHANSIRIGHAT,ASSAM_FLOOD_2025_06_DHANSIRIGHAT_EP11,2025-06-28 11:00,NH15 Crossing Dhansirighat,26.695833,92.257778,Dhansiri,Udalguri,0,NRSC/ISRO Bhuvan Historical Flood Inundation WCS,flood:as_2025_28_06_11,assam_2025_06_28_11hr_dhansirighat.tif,0,262144,0.0,0.0,,Karimganj,266.0,272.5,2,,,,16,MSL_NORMALIZED,True,Fold 2,TIER_1_CORE
BHUVAN_ASSAM_20250708_0600_FAKIRPARA,ASSAM_FLOOD_2025_07_FAKIRPARA_EP15,2025-07-08 06:00,NH15 Crossing Fakirpara Tangni,26.508333,92.116389,Tangni,Darrang,1,NRSC/ISRO Bhuvan Historical Flood Inundation WCS,flood:as_2025_08_07_06,assam_2025_07_08_06hr_fakirpara.tif,3261,262144,1.244,5.506,,DRF,40.0,255.0,1,60.845,0.048,0.002,24,MSL_NORMALIZED,False,Fold 5,PHASE_7H_EXPANSION
