observation_id,event_group_id,event_timestamp,gauge_name,rain_station,flood_occurrence,flood_pixel_count,flooded_km2,rainfall_6h,rainfall_24h,rainfall_72h,rainfall_168h,river_level_relative,river_rise_6h,river_rise_24h,river_percentile_level,month,day_of_year_sin,day_of_year_cos,latitude,longitude,elevation,slope,distance_to_river
BHUVAN_ASSAM_20240531_1800_DHANSIRIGHAT,ASSAM_FLOOD_2024_05_DHANSIRIGHAT_EP04,2024-05-31 18:00,NH15 Crossing Dhansirighat,DRF,0,0,0.0,0.0,2.0,36.0,71.5,1.335,0.078,0.108,0.3091,5,0.50279,-0.86441,26.695833,92.257778,,,
BHUVAN_ASSAM_20240607_1100_DHANSIRIGHAT,ASSAM_FLOOD_2024_05_DHANSIRIGHAT_EP04,2024-06-07 11:00,NH15 Crossing Dhansirighat,NT Road Crossing(Jiabharali),0,0,0.0,3.0,10.5,30.0,368.5,29.109,0.002,-0.026,0.9673,6,0.39531,-0.91855,26.695833,92.257778,,,
BHUVAN_ASSAM_20240608_0600_DHANSIRIGHAT,ASSAM_FLOOD_2024_05_DHANSIRIGHAT_EP04,2024-06-08 06:00,NH15 Crossing Dhansirighat,NT Road Crossing(Jiabharali),0,0,0.0,0.5,4.0,31.0,53.0,29.031,-0.053,-0.078,0.8436,6,0.37945,-0.92521,26.695833,92.257778,,,
BHUVAN_ASSAM_20240617_1800_DHANSIRIGHAT,ASSAM_FLOOD_2024_06_DHANSIRIGHAT_EP05,2024-06-17 18:00,NH15 Crossing Dhansirighat,NT Road Crossing Jia-Bharali,1,3,0.005,0.0,252.5,252.5,252.5,28.625,-0.005,0.265,0.5534,6,0.23224,-0.97266,26.695833,92.257778,,,
BHUVAN_ASSAM_20240704_1800_DHANSIRIGHAT,ASSAM_FLOOD_2024_07_DHANSIRIGHAT_EP06,2024-07-04 18:00,NH15 Crossing Dhansirighat,DRF,0,0,0.0,3.5,3.5,3.5,3.5,28.419,0.097,0.309,0.4717,7,-0.05803,-0.99832,26.695833,92.257778,,,
BHUVAN_ASSAM_20240708_1000_DHANSIRIGHAT,ASSAM_FLOOD_2024_07_DHANSIRIGHAT_EP06,2024-07-08 10:00,NH15 Crossing Dhansirighat,DRF,1,613,1.033,0.0,3.5,7.5,13.0,28.135,-0.031,0.068,0.4465,7,-0.12653,-0.99196,26.695833,92.257778,,,
BHUVAN_ASSAM_20240708_1800_DHANSIRIGHAT,ASSAM_FLOOD_2024_07_DHANSIRIGHAT_EP06,2024-07-08 18:00,NH15 Crossing Dhansirighat,DRF,0,0,0.0,0.0,3.5,7.5,13.0,28.212,0.0,0.076,0.4726,7,-0.12653,-0.99196,26.695833,92.257778,,,
BHUVAN_ASSAM_20240711_0600_DHANSIRIGHAT,ASSAM_FLOOD_2024_07_DHANSIRIGHAT_EP06,2024-07-11 06:00,NH15 Crossing Dhansirighat,DRF,0,0,0.0,1.5,1.5,8.5,21.5,28.349,-0.021,0.047,0.5136,7,-0.17753,-0.98412,26.695833,92.257778,,,
BHUVAN_ASSAM_20240711_1800_DHANSIRIGHAT,ASSAM_FLOOD_2024_07_DHANSIRIGHAT_EP06,2024-07-11 18:00,NH15 Crossing Dhansirighat,DRF,1,13235,22.301,0.0,1.5,8.5,18.0,28.327,,,0.5074,7,-0.17753,-0.98412,26.695833,92.257778,,,
BHUVAN_ASSAM_20240716_1800_DHANSIRIGHAT,ASSAM_FLOOD_2024_07_DHANSIRIGHAT_EP06,2024-07-16 18:00,NH15 Crossing Dhansirighat,DRF,1,3756,6.329,0.0,0.0,25.0,26.5,28.504,0.038,-0.055,0.5618,7,-0.26141,-0.96523,26.695833,92.257778,,,
BHUVAN_ASSAM_20240720_0600_BOKO,ASSAM_FLOOD_2024_07_BOKO_EP18,2024-07-20 06:00,NH17 Crossing Boko,Beki Road bridge,1,4275,7.203,4.0,10.0,107.0,211.0,29.986,0.0,0.0,0.9974,7,-0.32716,-0.94497,25.9775,91.234167,,,
BHUVAN_ASSAM_20240809_0600_DHANSIRIGHAT,ASSAM_FLOOD_2024_08_DHANSIRIGHAT_EP07,2024-08-09 06:00,NH15 Crossing Dhansirighat,Beki Road bridge,0,0,0.0,0.0,3.5,17.0,42.5,28.218,0.164,-0.111,0.3617,8,-0.62673,-0.77924,26.695833,92.257778,,,
BHUVAN_ASSAM_20240809_1800_DHANSIRIGHAT,ASSAM_FLOOD_2024_08_DHANSIRIGHAT_EP07,2024-08-09 18:00,NH15 Crossing Dhansirighat,Beki Road bridge,1,1,0.002,0.0,2.5,9.5,43.5,28.373,0.078,0.246,0.4904,8,-0.62673,-0.77924,26.695833,92.257778,,,
BHUVAN_ASSAM_20250603_0600_DHANSIRIGHAT,ASSAM_FLOOD_2025_06_DHANSIRIGHAT_EP08,2025-06-03 06:00,NH15 Crossing Dhansirighat,DRF,1,983,1.656,0.0,21.0,45.0,188.0,1.956,-0.025,0.083,0.2168,6,0.47276,-0.88119,26.695833,92.257778,,,
BHUVAN_ASSAM_20250603_1000_DHANSIRIGHAT,ASSAM_FLOOD_2025_06_DHANSIRIGHAT_EP08,2025-06-03 10:00,NH15 Crossing Dhansirighat,DRF,0,0,0.0,0.0,21.0,45.0,187.5,2.018,0.009,0.104,0.2458,6,0.47276,-0.88119,26.695833,92.257778,,,
BHUVAN_ASSAM_20250611_1000_DHANSIRIGHAT,ASSAM_FLOOD_2025_06_DHANSIRIGHAT_EP09,2025-06-11 10:00,NH15 Crossing Dhansirighat,DRF,0,0,0.0,0.0,0.0,224.0,225.5,2.354,0.034,0.053,0.8171,6,0.3474,-0.93772,26.695833,92.257778,,,
BHUVAN_ASSAM_20250619_1800_DHANSIRIGHAT,ASSAM_FLOOD_2025_06_DHANSIRIGHAT_EP10,2025-06-19 18:00,NH15 Crossing Dhansirighat,DRF,0,0,0.0,0.0,3.0,40.5,488.0,2.206,-0.09,-0.137,0.3466,6,0.21548,-0.97651,26.695833,92.257778,,,
BHUVAN_ASSAM_20250624_1800_FAKIRPARA,ASSAM_FLOOD_2025_06_FAKIRPARA_EP14,2025-06-24 18:00,NH15 Crossing Fakirpara Tangni,DRF,1,5338,8.995,0.0,36.5,36.5,81.5,1.675,-0.086,-0.695,0.8571,6,0.13079,-0.99141,26.508333,92.116389,,,
BHUVAN_ASSAM_20250628_1100_DHANSIRIGHAT,ASSAM_FLOOD_2025_06_DHANSIRIGHAT_EP11,2025-06-28 11:00,NH15 Crossing Dhansirighat,Karimganj,0,0,0.0,0.0,266.0,272.5,801.5,,,,,6,0.06232,-0.99806,26.695833,92.257778,,,
BHUVAN_ASSAM_20250708_0600_FAKIRPARA,ASSAM_FLOOD_2025_07_FAKIRPARA_EP15,2025-07-08 06:00,NH15 Crossing Fakirpara Tangni,DRF,1,3261,5.495,40.0,40.0,255.0,261.0,1.136,-0.023,0.048,0.6414,7,-0.10945,-0.99399,26.508333,92.116389,,,
